word,total_occ,book_count,sample_sentence
entreaty,14,2,"[Illustration: ""The entreaties of several"" [_Copyright 1894 by George Allen."
silly,14,2,"""They have none of them much to recommend them,"" replied he: ""they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters."""
trap,14,2,"shouted Mr. Windibank, turning white to his lips and glancing about him like a rat in a trap."
arrange,13,3,I have already arranged what is to occur.
bye,13,3,"""'Then, good-bye, Mr. Jabez Wilson, and let me congratulate you once more on the important position which you have been fortunate enough to gain.'"
completely,13,3,"""You either choose this method of passing the evening because you are in each other's confidence, and have secret affairs to discuss, or because you are conscious that your figures appear to the great"
crowd,13,3,"Holmes dashed into the crowd to protect the lady; but, just as he reached her, he gave a cry and dropped to the ground, with the blood running freely down his face."
gather,13,3,"Now, what did you gather from that woman's appearance?"
gravely,13,3,"he said gravely, 'that is very serious indeed!"
impatiently,13,3,"but the Mouse only shook its head impatiently, and walked a little quicker."
nearer,13,3,"Just then she heard something splashing about in the pool a little way off, and she swam nearer to make out what it was: at first she thought it must be a walrus or hippopotamus, but then she remember"
presently,13,3,"Presently he emerged, looking even more flurried than before."
thoroughly,13,3,"He appeared to be in a great hurry, shouted to the cabman to wait, and brushed past the maid who opened the door with the air of a man who was thoroughly at home."
vague,13,3,"From time to time I heard some vague account of his doings: of his summons to Odessa in the case of the Trepoff murder, of his clearing up of the singular tragedy of the Atkinson brothers at Trincomal"
communicate,13,2,"If not, I should much prefer to communicate with you alone."""
county,13,2,"I rang the bell and called for the weekly county paper, which contained a verbatim account of the inquest."
dozen,13,2,"I lent the ostlers a hand in rubbing down their horses, and received in exchange twopence, a glass of half-and-half, two fills of shag tobacco, and as much information as I could desire about Miss Adl"
error,13,2,"My conduct may, I fear, be objectionable in having accepted my dismission from your daughter's lips instead of your own; but we are all liable to error."
extreme,13,2,"I understand that this gentleman, your friend, is a man of honour and discretion, whom I may trust with a matter of the most extreme importance."
favorable,13,2,Her report was highly favourable.
governess,13,2,"""Has your governess left you?"""
joke,13,2,"It was a pretty expensive joke for them, for it cost them two and thirty pounds."""
justify,13,2,The former was divided between admiration of the brilliancy which exercise had given to her complexion and doubt as to the occasion's justifying her coming so far alone.
liberty,13,2,"Mr. Bingley intended it likewise, and sometimes made choice of his county; but, as he was now provided with a good house and the liberty of a manor, it was doubtful to many of those who best knew the "
possess,13,2,"A woman must have a thorough knowledge of music, singing, drawing, dancing, and the modern languages, to deserve the word; and, besides all this, she must possess a certain something in her air and ma"
quest,13,2,"She then yawned again, threw aside her book, and cast her eyes round the room in quest of some amusement; when, hearing her brother mentioning a ball to Miss Bennet, she turned suddenly towards him an"
remarkably,13,2,"With _them_ he is remarkably agreeable."""
unknown,13,2,"Mr. Philips visited them all, and this opened to his nieces a source of felicity unknown before."
utmost,13,2,"He protested that, except Lady Catherine and her daughter, he had never seen a more elegant woman; for she had not only received him with the utmost civility, but had even pointedly included him in he"
burst,12,3,"Sherlock Holmes and I surveyed this curt announcement and the rueful face behind it, until the comical side of the affair so completely overtopped every other consideration that we both burst out into"
fetch,12,3,"And it'll fetch things when you throw them, and it'll sit up and beg for its dinner, and all sorts of things--I can't remember half of them--and it belongs to a farmer, you know, and he says it's so u"
haste,12,3,"Well, Jane, make haste and tell us; make haste, my love."""
lest,12,3,Darcy only smiled; and the general pause which ensued made Elizabeth tremble lest her mother should be exposing herself again.
living,12,3,"A fortunate chance had recommended him to Lady Catherine de Bourgh when the living of Hunsford was vacant; and the respect which he felt for her high rank, and his veneration for her as his patroness,"
nay,12,3,"""Nay, if you are so serious about it, I shall consider the matter as absolutely settled."
peep,12,3,"Over the edge there peeped a clean-cut, boyish face, which looked keenly about it, and then, with a hand on either side of the aperture, drew itself shoulder-high and waist-high, until one knee rested"
relieve,12,3,"Her curiosity, however, was unexpectedly relieved."
stupid,12,3,"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting "
apologize,12,2,"I cannot be otherwise than concerned at being the  means of injuring your amiable daughters, and beg leave to  apologize for it, as well as to assure you of my readiness to make  them every possible a"
correct,12,2,"It is not too much to say that once or twice, as in that business of the Sholto murder and the Agra treasure, he has been more nearly correct than the official force."""
descend,12,2,We descended and started off once more for Briony Lodge.
familiar,12,2,"The name is no doubt familiar to you."""
hasten,12,2,"And gathering her work together, she was hastening away, when Elizabeth called out,-- ""Dear ma'am, do not go."
impatience,12,2,"Elizabeth's eyes were fixed on her, with most painful sensations; and she watched her progress through the several stanzas with an impatience which was very ill rewarded at their close; for Mary, on r"
imprudence,12,2,"A man of honour could not have doubted the intention, but Mr. Darcy chose to doubt it--or to treat it as a merely conditional recommendation, and to assert that I had forfeited all claim to it by extr"
insufficient,12,2,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insufficient to make his wife understand his character."
interruption,12,2,"Mrs. Bennet and her daughters apologized most civilly for Lydia's interruption, and promised that it should not occur again, if he would resume his book; but Mr. Collins, after assuring them that he b"
peace,12,2,"As a clergyman,  moreover, I feel it my duty to promote and establish the blessing  of peace in all families within the reach of my influence; and on  these grounds I flatter myself that my present ov"
recall,12,2,I cannot recall when I have seen anything so fine.'
reward,12,2,Pray tell me in what way I can reward you.
stoke,12,2,"Of all these varied cases, however, I cannot recall any which presented more singular features than that which was associated with the well-known Surrey family of the Roylotts of Stoke Moran."
upper,12,2,"He carried a broad-brimmed hat in his hand, while he wore across the upper part of his face, extending down past the cheekbones, a black vizard mask, which he had apparently adjusted that very moment,"
warmly,12,2,"Miss Bingley warmly resented the indignity he had received, in an expostulation with her brother for talking such nonsense."
absurd,11,3,"His cousin was as absurd as he had hoped; and he listened to him with the keenest enjoyment, maintaining at the same time the most resolute composure of countenance, and, except in an occasional glanc"
alter,11,3,"""But people themselves alter so much, that there is something new to be observed in them for ever."""
busy,11,3,"""I have been too busy to think of food, and I am likely to be busier still this evening."
crowded,11,3,"It was high time to go, for the pool was getting quite crowded with the birds and animals that had fallen into it: there were a Duck and a Dodo, a Lory and an Eaglet, and several other curious creatur"
exact,11,3,It is a hobby of mine to have an exact knowledge of London.
grief,11,3,Folk who were in grief came to my wife like birds to a lighthouse.
impatient,11,3,"After a song or two, and before she could reply to the entreaties of several that she would sing again, she was eagerly succeeded at the instrument by her sister Mary, who having, in consequence of be"
loudly,11,3,"She was flattered by the gentleman's attentions, and the effect was increased by the loudly expressed admiration of her mother."
quickly,11,3,You see how quickly the deed followed the sign when it came from Dundee.
confine,11,2,Your task is confined to that.
defect,11,2,They always continue to grow sufficiently unlike afterwards to have their share of vexation; and it is better to know as little as possible of the defects of the person with whom you are to pass your 
devote,11,2,It is a subject to which I have devoted some little attention.
dirty,11,2,The portly client puffed out his chest with an appearance of some little pride and pulled a dirty and wrinkled newspaper from the inside pocket of his greatcoat.
disappear,11,2,He disappeared into his bedroom and returned in a few minutes in the character of an amiable and simple-minded Nonconformist clergyman.
disturb,11,2,"""Witness: I was so disturbed and excited as I rushed out into the open, that I could think of nothing except of my father."
essential,11,2,"But it was essential that they should use it soon, as it might be discovered, or the bullion might be removed."
foresee,11,2,"If we could fly out of that window hand in hand, hover over this great city, gently remove the roofs, and peep in at the queer things which are going on, the strange coincidences, the plannings, the c"
formidable,11,2,"""It is nothing very formidable,"" he said, taking a long cigar-shaped roll from his pocket."
handkerchief,11,2,She pulled a little handkerchief out of her muff and began to sob heavily into it.
ignorance,11,2,"I see nothing in it but your own wilful ignorance and the malice of Mr. Darcy."""
immense,11,2,"He was still, as ever, deeply attracted by the study of crime, and occupied his immense faculties and extraordinary powers of observation in following out those clues, and clearing up those mysteries "
indebted,11,2,"From the drawing-room they could distinguish nothing in the lane, and were indebted to Mr. Collins for the knowledge of what carriages went along, and how often especially Miss De Bourgh drove by in h"
refer,11,2,"And when he speaks of Irene Adler, or when he refers to her photograph, it is always under the honourable title of _the_ woman."
refusal,11,2,"""I am not now to learn,"" replied Mr. Collins, with a formal wave of the hand, ""that it is usual with young ladies to reject the addresses of the man whom they secretly mean to accept, when he first ap"
remind,11,2,"She was very equal, therefore, to address Mr. Bingley on the subject of the ball, and abruptly reminded him of his promise; adding, that it would be the most shameful thing in the world if he did not "
rid,11,2,"Miss Bingley saw, or suspected, enough to be jealous; and her great anxiety for the recovery of her dear friend Jane received some assistance from her desire of getting rid of Elizabeth."
scruple,11,2,"""Why, indeed, he does seem to have had some filial scruples on that head, as you will hear."""
sob,11,2,"repeated the Pigeon, but in a more subdued tone, and added with a kind of sob, ""I've tried every way, and nothing seems to suit them!"""
temptation,11,2,"She answered in the affirmative; and, unable to resist the temptation, added, ""When you met us there the other day, we had just been forming a new acquaintance."""
threaten,11,2,"""Threatens to send them the photograph."
willing,11,2,"Allowing for the common demands of the game, Mr. Wickham was therefore at leisure to talk to Elizabeth, and she was very willing to hear him, though what she chiefly wished to hear she could not hope "
accustom,10,3,"""But you can understand,"" said our strange visitor, sitting down once more and passing his hand over his high white forehead, ""you can understand that I am not accustomed to doing such business in my "
coming,10,3,"It was already dusk, and the lamps were just being lighted as we paced up and down in front of Briony Lodge, waiting for the coming of its occupant."
confused,10,3,"""Why, _she_, of course,"" said the Dodo, pointing to Alice with one finger; and the whole party at once crowded round her, calling out in a confused way, ""Prizes!"
dreadfully,10,3,"""If it had grown up,"" she said to herself, ""it would have made a dreadfully ugly child: but it makes rather a handsome pig, I think."""
fairly,10,3,"The table was set out ready for me, and Mr. Duncan Ross was there to see that I got fairly to work."
nicely,10,3,"""You did it very nicely, Doctor,"" he remarked."
solemn,10,3,"Mr. Collins, awkward and solemn, apologizing instead of attending, and often moving wrong without being aware of it, gave her all the shame and misery which a disagreeable partner for a couple of danc"
spread,10,3,"""How cheerfully he seems to grin,  How neatly spread his claws, And welcome little fishes in  With gently smiling jaws!"""
accuse,10,2,"Certain it is that the living became vacant two years ago, exactly as I was of an age to hold it, and that it was given to another man; and no less certain is it, that I cannot accuse myself of having"
allude,10,2,"""You allude, perhaps, to the entail of this estate."""
betray,10,2,She was perfectly sensible that he never had: but she wished to see whether he would betray any consciousness of what had passed between the Bingleys and Jane; and she thought he looked a little confu
compare,10,2,"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great admiration for about half the evening, till his m"
considerably,10,2,I need not point out to you that your refusal to answer will prejudice your case considerably in any future proceedings which may arise.
convey,10,2,It will end in my being conveyed into the house.
dispose,10,2,"He paused in hopes of an answer: but his companion was not disposed to make any; and Elizabeth at that instant moving towards them, he was struck with the notion of doing a very gallant thing, and cal"
entreat,10,2,"I entreat you not to suppose that I moved this way in order to beg for a partner."""
extend,10,2,"Boots which extended halfway up his calves, and which were trimmed at the tops with rich brown fur, completed the impression of barbaric opulence which was suggested by his whole appearance."
freely,10,2,"Holmes dashed into the crowd to protect the lady; but, just as he reached her, he gave a cry and dropped to the ground, with the blood running freely down his face."
gently,10,2,"All the afternoon he sat in the stalls wrapped in the most perfect happiness, gently waving his long, thin fingers in time to the music, while his gently smiling face and his languid, dreamy eyes were"
glimpse,10,2,"""He was in the house about half an hour, and I could catch glimpses of him in the windows of the sitting-room, pacing up and down, talking excitedly, and waving his arms."
incapable,10,2,"Miss Bingley, however, was incapable of disappointing Mr. Darcy in anything, and persevered, therefore, in requiring an explanation of his two motives."
indulge,10,2,"To this speech Bingley made no answer; but his sisters gave it their hearty assent, and indulged their mirth for some time at the expense of their dear friend's vulgar relations."
openly,10,2,"When they sat down to supper, therefore, she considered it a most unlucky perverseness which placed them within one of each other; and deeply was she vexed to find that her mother was talking to that "
propriety,10,2,"Mr. Darcy, with grave propriety, requested to be allowed the honour of her hand, but in vain."
repeatedly,10,2,"Mr. Darcy was writing, and Miss Bingley, seated near him, was watching the progress of his letter, and repeatedly calling off his attention by messages to his sister."
shrug,10,2,The Count shrugged his broad shoulders.
similar,10,2,"As a rule, when I have heard some slight indication of the course of events, I am able to guide myself by the thousands of other similar cases which occur to my memory."
sufficient,10,2,"My own complete happiness, and the home-centred interests which rise up around the man who first finds himself master of his own establishment, were sufficient to absorb all my attention, while Holmes"
thither,10,2,"The village of Longbourn was only one mile from Meryton; a most convenient distance for the young ladies, who were usually tempted thither three or four times a week, to pay their duty to their aunt, "
truly,10,2,"How can Mr. Bingley, who seems good-humour itself, and is, I really believe, truly amiable, be in friendship with such a man?"
tut,10,2,"But how on earth--"" ""Oh, tut, tut!"
uncommonly,10,2,"Upon my honour, I never met with so many pleasant girls in my life as I have this evening; and there are several of them, you see, uncommonly pretty."""
unexpected,10,2,"The subjection in which his father had brought him up had given him originally great humility of manner; but it was now a good deal counteracted by the self-conceit of a weak head, living in retiremen"
unite,10,2,"It was generally evident, whenever they met, that he _did_ admire her; and to _her_ it was equally evident that Jane was yielding to the preference which she had begun to entertain for him from the fi"
vary,10,2,"After playing some Italian songs, Miss Bingley varied the charm by a lively Scotch air; and soon afterwards Mr. Darcy, drawing near Elizabeth, said to her,-- ""Do you not feel a great inclination, Miss"
violently,10,2,"It does not often happen that the interference of friends will persuade a young man of independent fortune to think no more of a girl whom he was violently in love with only a few days before."""
visible,10,2,"""You are to watch me, for I will be visible to you."""
warning,10,2,"""We have had several warnings that an attempt might be made upon it."""
alas,9,3,"Suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and Alice's first thought was that it might belong to one of the doors of"
existence,9,3,My life is spent in one long effort to escape from the commonplaces of existence.
odd,9,3,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insufficient to make his wife understand his character."
personal,9,3,"The daughter was of a good, amiable disposition, but affectionate and warm-hearted in her ways, so that it was evident that with her fair personal advantages, and her little income, she would not be a"
rapidly,9,3,"Shortly after my return I heard the wheels of his trap in the yard, and, looking out of my window, I saw him get out and walk rapidly out of the yard, though I was not aware in which direction he was "
suppress,9,3,"Here one of the guinea-pigs cheered, and was immediately suppressed by the officers of the court."
wide,9,3,"""Cheshire Puss,"" she began, rather timidly, as she did not at all know whether it would like the name: however, it only grinned a little wider."
abode,9,2,"""The garden in which stands my humble abode is separated only by a lane from Rosings Park, her Ladyship's residence."""
alteration,9,2,"She had even condescended to advise him to marry as soon as he could, provided he chose with discretion; and had once paid him a visit in his humble parsonage, where she had perfectly approved all the"
attract,9,2,"He was still, as ever, deeply attracted by the study of crime, and occupied his immense faculties and extraordinary powers of observation in following out those clues, and clearing up those mysteries "
bind,9,2,She was bound to have me in.
charles,9,2,"Charles, when you build _your_ house, I wish it may be half as delightful as Pemberley."""
chuckle,9,2,"He chuckled to himself and rubbed his long, nervous hands together."
converse,9,2,"""Certainly not, at first; but they are very pleasing women when you converse with them."
dignity,9,2,"Elizabeth made no answer, and took her place in the set, amazed at the dignity to which she was arrived in being allowed to stand opposite to Mr. Darcy, and reading in her neighbours' looks their equa"
eligible,9,2,"A military life is not what I was intended for, but circumstances have now made it eligible."
extent,9,2,"""Your list of the common extent of accomplishments,"" said Darcy, ""has too much truth."
fully,9,2,Mr. Bennet's expectations were fully answered.
household,9,2,"""And now, Mr. Wilson, off you go at scratch and tell us all about yourself, your household, and the effect which this advertisement had upon your fortunes."
improbable,9,2,Jane confessed herself a little surprised at the match: but she said less of her astonishment than of her earnest desire for their happiness; nor could Elizabeth persuade her to consider it as improba
ma'am,9,2,"_]] ""Are you quite sure, ma'am?"
obtain,9,2,"She had obtained private intelligence that Mr. Darcy did not wish for cards, and Mr. Hurst soon found even his open petition rejected."
ordinary,9,2,"""It is an ordinary plumber's smoke-rocket, fitted with a cap at either end to make it self-lighting."
poison,9,2,"But now the spell had been upon him eight-and-forty hours, and he lay there, doubtless among the dregs of the docks, breathing in the poison or sleeping off the effects."
politely,9,2,"said the Mouse, frowning, but very politely: ""Did you speak?"""
previous,9,2,"The pipe was still between his lips, the smoke still curled upward, and the room was full of a dense tobacco haze, but nothing remained of the heap of shag which I had seen upon the previous night."
quadrille,9,2,The Mock Turtle's Story  CHAPTER X. The Lobster Quadrille  CHAPTER XI.
resemblance,9,2,"""This is no very striking resemblance of your own character, I am sure,"" said he."
speedily,9,2,Sir William and Lady Lucas were speedily applied to for their consent; and it was bestowed with a most joyful alacrity.
uneasiness,9,2,"*/ ""Dear Sir,  ""The disagreement subsisting between yourself and my late honoured  father always gave me much uneasiness; and, since I have had the  misfortune to lose him, I have frequently wished to"
unfold,9,2,"""Yes: these four evenings have enabled them to ascertain that they both like Vingt-un better than Commerce, but with respect to any other leading characteristic, I do not imagine that much has been un"
unusual,9,2,"""Quite so; but the sequel was rather unusual."
useless,9,2,"Vain indeed must be all her attentions, vain and useless her affection for his sister and her praise of himself, if he were already self-destined to another."
closely,8,3,"I walked round it and examined it closely from every point of view, but without noting anything else of interest."
denial,8,3,"But I am afraid you are giving it a turn which that gentleman did by no means intend; for he would certainly think the better of me if, under such a circumstance, I were to give a flat denial, and rid"
exclamation,8,3,"""What can be the meaning of that emphatic exclamation?"""
fourth,8,3,"""Third right, fourth left,"" answered the assistant promptly, closing the door."
laughter,8,3,"Sherlock Holmes and I surveyed this curt announcement and the rueful face behind it, until the comical side of the affair so completely overtopped every other consideration that we both burst out into"
prize,8,3,"At last the Dodo said, ""_Everybody_ has won, and all must have prizes."""
pronounce,8,3,"Mr. Bennet's emotions were much more tranquil on the occasion, and such as he did experience he pronounced to be of a most agreeable sort; for it gratified him, he said, to discover that Charlotte Luc"
advisable,8,2,"She would not listen, therefore, to her daughter's proposal of being carried home; neither did the apothecary, who arrived about the same time, think it at all advisable."
ascend,8,2,"I left the breakfast-table, and as I ascended the stair I met him coming down with an old rusty key, which must have belonged to the attic, in one hand, and a small brass box, like a cashbox, in the o"
assume,8,2,"His expression, his manner, his very soul seemed to vary with every fresh part that he assumed."
awake,8,2,"""Awake, Watson?"""
ay,8,2,"""Ay, so it is,"" cried her mother, ""and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she will not know him herself."""
backward,8,2,"He took a step backward, cocked his head on one side, and gazed at my hair until I felt quite bashful."
characteristic,8,2,"Now, you remark in this note of yours, Mr. Windibank, that in every case there is some little slurring over of the 'e,' and a slight defect in the tail of the 'r.' There are fourteen other characteris"
condescend,8,2,"""Undoubtedly,"" replied Darcy, to whom this remark was chiefly addressed, ""there is meanness in _all_ the arts which ladies sometimes condescend to employ for captivation."
deference,8,2,"I assure you that if Darcy were not such a great tall fellow, in comparison with myself, I should not pay him half so much deference."
depart,8,2,"Mrs. Bennet and her daughters then departed, and Elizabeth returned instantly to Jane, leaving her own and her relations' behaviour to the remarks of the two ladies and Mr. Darcy; the latter of whom, "
desirous,8,2,"Darcy made no answer, and seemed desirous of changing the subject."
differently,8,2,"For my part, Mr. Bingley, _I_ always keep servants that can do their own work; _my_ daughters are brought up differently."
enable,8,2,"I found the ash of a cigar, which my special knowledge of tobacco ashes enables me to pronounce as an Indian cigar."
engaging,8,2,My brother admires her greatly already; he will have frequent opportunity now of seeing her on the most intimate footing; her relations all wish the connection as much as his own; and a sister's parti
forth,8,2,"Suddenly, amid all the hubbub of the gale, there burst forth the wild scream of a terrified woman."
france,8,2,"We had occasion some months ago to strengthen our resources and borrowed for that purpose 30,000 napoleons from the Bank of France."
gradually,8,2,The expression of his face changed gradually from indignant contempt to a composed and steady gravity.
imagination,8,2,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony, in a moment."
impress,8,2,"""Well, now, in considering this case there are two points about young McCarthy's narrative which struck us both instantly, although they impressed me in his favour and you against him."
obey,8,2,"However, I threw all fears to the winds, ate a hearty supper, drove to Paddington, and started off, having obeyed to the letter the injunction as to holding my tongue."
persist,8,2,"To such perseverance in wilful self-deception Elizabeth would make no reply, and immediately and in silence withdrew; determined, that if he persisted in considering her repeated refusals as flatterin"
repeating,8,2,"She longed to speak, but could think of nothing to say; and after a short silence Mrs. Bennet began repeating her thanks to Mr. Bingley for his kindness to Jane, with an apology for troubling him also"
resist,8,2,"[Illustration] As no objection was made to the young people's engagement with their aunt, and all Mr. Collins's scruples of leaving Mr. and Mrs. Bennet for a single evening during his visit were most "
satisfactory,8,2,"[Illustration] Not all that Mrs. Bennet, however, with the assistance of her five daughters, could ask on the subject, was sufficient to draw from her husband any satisfactory description of Mr. Bingl"
sex,8,2,"""Are you so severe upon your own sex as to doubt the possibility of all this?"""
sharply,8,2,"said Alice to herself, rather sharply; ""I advise you to leave off this minute!"""
sixteen,8,2,"She is a handsome girl, about fifteen or sixteen, and, I understand, highly accomplished."
sleepy,8,2,"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting "
solemnly,8,2,"""In that case,"" said the Dodo solemnly, rising to its feet, ""I move that the meeting adjourn, for the immediate adoption of more energetic remedies--"" ""Speak English!"""
summon,8,2,"[Illustration] At five o'clock the two ladies retired to dress, and at half-past six Elizabeth was summoned to dinner."
talent,8,2,"""You judge very properly,"" said Mr. Bennet; ""and it is happy for you that you possess the talent of flattering with delicacy."
tis,8,2,"""'Tis so,"" said the Duchess: ""and the moral of that is--'Oh, 'tis love, 'tis love, that makes the world go round!'"
unnecessary,8,2,"The goose we retained until this morning, when there were signs that, in spite of the slight frost, it would be well that it should be eaten without unnecessary delay."
weakness,8,2,"But it has been the study of my life to avoid those weaknesses which often expose a strong understanding to ridicule."""
hurrying,7,3,"The roadway was blocked with the immense stream of commerce flowing in a double tide inward and outward, while the footpaths were black with the hurrying swarm of pedestrians."
plead,7,3,pleaded poor Alice.
plenty,7,3,"There's plenty of thread, no doubt, but I can't get the end of it into my hand."
savage,7,3,"won't she be savage if I've kept her waiting!"""
simply,7,3,"Alice thought the whole thing very absurd, but they all looked so grave that she did not dare to laugh; and, as she could not think of anything to say, she simply bowed, and took the thimble, looking "
uncommon,7,3,"You are charmingly grouped, and appear to uncommon advantage."
yawn,7,3,"At length, quite exhausted by the attempt to be amused with her own book, which she had only chosen because it was the second volume of his, she gave a great yawn and said, ""How pleasant it is to spen"
apparently,7,2,"He carried a broad-brimmed hat in his hand, while he wore across the upper part of his face, extending down past the cheekbones, a black vizard mask, which he had apparently adjusted that very moment,"
ascertain,7,2,I was ascertaining whether the cellar stretched out in front or behind.
awaken,7,2,"At length, however, his civility was so far awakened as to inquire of Elizabeth after the health of her family."
busily,7,2,"Alice glanced rather anxiously at the cook, to see if she meant to take the hint; but the cook was busily stirring the soup, and seemed not to be listening, so she went on again: ""Twenty-four hours, I"
china,7,2,"""Beyond the obvious facts that he has at some time done manual labour, that he takes snuff, that he is a Freemason, that he has been in China, and that he has done a considerable amount of writing lat"
correspondence,7,2,"The next was in these words:--""'I do not pretend to regret anything I shall leave in Hertfordshire except your society, my dearest friend; but we will hope, at some future period, to enjoy many return"
cruelty,7,2,They had often attempted it before: but it was a subject on which Mrs. Bennet was beyond the reach of reason; and she continued to rail bitterly against the cruelty of settling an estate away from a f
derive,7,2,"She has the reputation of being remarkably sensible and clever; but I rather believe she derives part of her abilities from her rank and fortune, part from her authoritative manner, and the rest from "
destroy,7,2,"You know me too well to think that I am boasting when I say that I shall either confirm or destroy his theory by means which he is quite incapable of employing, or even of understanding."
dissatisfy,7,2,"Bingley was endeared to Darcy by the easiness, openness, and ductility of his temper, though no disposition could offer a greater contrast to his own, and though with his own he never appeared dissati"
endure,7,2,"So high and so conceited, that there was no enduring him!"
establishment,7,2,Only think what an establishment it would be for one of them.
exceed,7,2,Miss Bingley was then sorry that she had proposed the delay; for her jealousy and dislike of one sister much exceeded her affection for the other.
finer,7,2,"There is not a finer county in England than Derbyshire."""
happily,7,2,"""If I can but see one of my daughters happily settled at Netherfield,"" said Mrs. Bennet to her husband, ""and all the others equally well married, I shall have nothing to wish for."""
hurriedly,7,2,"The furniture was scattered about in every direction, with dismantled shelves and open drawers, as if the lady had hurriedly ransacked them before her flight."
lot,7,2,I should recommend you also to send a note by the cabman to your wife to say that you have thrown in your lot with me.
mixture,7,2,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insufficient to make his wife understand his character."
murmur,7,2,"""I was also aware of that,"" murmured Holmes, settling himself down in his armchair and closing his eyes."
mutter,7,2,"The most lay silent, but some muttered to themselves, and others talked together in a strange, low, monotonous voice, their conversation coming in gushes, and then suddenly tailing off into silence, e"
pat,7,2,"The next thing was to eat the comfits: this caused some noise and confusion, as the large birds complained that they could not taste theirs, and the small ones choked and had to be patted on the back."
pencil,7,2,"Written in pencil upon the fly-leaf of a book, octavo size, no water-mark."
pitiable,7,2,"He was in a pitiable state of reaction, with every nerve in a twitter."
pledge,7,2,"Why, all the morning he was saying to me that, whatever happened, I was to be true; and that even if something quite unforeseen occurred to separate us, I was always to remember that I was pledged to "
proportion,7,2,"""I admire the activity of your benevolence,"" observed Mary, ""but every impulse of feeling should be guided by reason; and, in my opinion, exertion should always be in proportion to what is required."""
rely,7,2,"""I was sure that I might rely on you."""
residence,7,2,"It had given him a disgust to his business and to his residence in a small market town; and, quitting them both, he had removed with his family to a house about a mile from Meryton, denominated from t"
restraint,7,2,Between Elizabeth and Charlotte there was a restraint which kept them mutually silent on the subject; and Elizabeth felt persuaded that no real confidence could ever subsist between them again.
reveal,7,2,"Yet, with all this, you  made me reveal what you wanted to know."
safely,7,2,Your recent services to one of the royal houses of Europe have shown that you are one who may safely be trusted with matters which are of an importance which can hardly be exaggerated.
scatter,7,2,"The furniture was scattered about in every direction, with dismantled shelves and open drawers, as if the lady had hurriedly ransacked them before her flight."
thoughtfully,7,2,"Alice remained looking thoughtfully at the mushroom for a minute, trying to make out which were the two sides of it; and as it was perfectly round, she found this a very difficult question."
tiny,7,2,"Suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and Alice's first thought was that it might belong to one of the doors of"
traveler,7,2,Her fellow-travellers the next day were not of a kind to make her think him less agreeable.
treasure,7,2,"It is not too much to say that once or twice, as in that business of the Sholto murder and the Agra treasure, he has been more nearly correct than the official force."""
trifling,7,2,People do not die of little trifling colds.
burning,6,3,"Out of the black shadows there glimmered little red circles of light, now bright, now faint, as the burning poison waxed or waned in the bowls of the metal pipes."
cheer,6,3,"Then they all crowded round her once more, while the Dodo solemnly presented the thimble, saying ""We beg your acceptance of this elegant thimble;"" and, when it had finished this short speech, they all"
neighboring,6,3,"They appear to have avoided the society of the neighbouring English families and to have led retired lives, though both the McCarthys were fond of sport and were frequently seen at the race-meetings o"
planning,6,3,"If we could fly out of that window hand in hand, hover over this great city, gently remove the roofs, and peep in at the queer things which are going on, the strange coincidences, the plannings, the c"
stamp,6,3,"""One day--it was in March, 1883--a letter with a foreign stamp lay upon the table in front of the colonel's plate."
actual,6,2,"It is, in short, impossible for us to conjecture the causes or circumstances which may have alienated them, without actual blame on either side."""
admirable,6,2,They were admirable things for the observer--excellent for drawing the veil from men's motives and actions.
amusing,6,2,"It must be an amusing study."""
answering,6,2,"""Yes,"" said Holmes, answering the look rather than the words."
beautifully,6,2,She responded beautifully.
bitterness,6,2,"She was therefore obliged to seek another branch of the subject, and related, with much bitterness of spirit, and some exaggeration, the shocking rudeness of Mr. Darcy."
briefly,6,2,"My reasons for believing it are briefly these:--It does not appear to me that my hand is unworthy of your acceptance, or that the establishment I can offer would be any other than highly desirable."
candle,6,2,"First, however, she waited for a few minutes to see if she was going to shrink any further: she felt a little nervous about this; ""for it might end, you know,"" said Alice to herself, ""in my going out "
contemplation,6,2,"Mrs. Philips was quite awed by such an excess of good breeding; but her contemplation of one stranger was soon put an end to by exclamations and inquiries about the other, of whom, however, she could "
convenient,6,2,"The village of Longbourn was only one mile from Meryton; a most convenient distance for the young ladies, who were usually tempted thither three or four times a week, to pay their duty to their aunt, "
